Date,BTC,ETH,BNB,XRP,ADA,CRIX
2020-08-06,11779.773438,394.961945,22.707661,0.303584,0.144048,932.6
2020-08-07,11601.472656,379.512848,22.311546,0.294664,0.139155,896.92
2020-08-08,11754.045898,393.987366,22.878119,0.294022,0.145781,911.685
2020-08-09,11675.739258,391.120453,22.475536,0.288653,0.145244,919.0675
2020-08-10,11878.111328,395.887573,22.613796,0.294659,0.143855,926.45
2020-08-11,11410.525391,380.384064,21.256945,0.284449,0.137436,888.93
2020-08-12,11584.93457,391.02417,21.75145,0.28493,0.137398,902.8
2020-08-13,11784.137695,428.741791,22.075544,0.297807,0.141245,902.55
2020-08-14,11768.871094,437.397827,23.069792,0.300371,0.138338,941.0
2020-08-15,11865.698242,433.354919,23.021751,0.299661,0.138303,958.88
2020-08-16,11892.803711,433.786621,23.497103,0.303492,0.138471,967.8199999999999
2020-08-17,12254.402344,429.53125,23.510103,0.314767,0.14092,976.76
2020-08-18,11991.233398,423.669312,23.067181,0.303307,0.137427,947.2
2020-08-19,11758.283203,406.463776,22.310396,0.290246,0.129275,913.05
2020-08-20,11878.37207,416.439789,23.092575,0.292573,0.133642,931.76
2020-08-21,11592.489258,389.126343,22.128994,0.280682,0.12376,912.74
2020-08-22,11681.825195,395.835144,22.23982,0.286546,0.125276,916.005
2020-08-23,11664.847656,391.384491,21.870842,0.285386,0.121595,917.6375
2020-08-24,11774.595703,408.144196,22.605852,0.289215,0.124488,919.27
2020-08-25,11366.134766,384.001038,21.475367,0.277927,0.113292,880.01
2020-08-26,11488.363281,386.466125,22.277306,0.277491,0.115285,894.6
2020-08-27,11323.397461,382.632629,23.080753,0.264511,0.106824,874.73
2020-08-28,11542.5,395.874664,23.133812,0.272046,0.109453,898.62
2020-08-29,11506.865234,399.921478,23.011272,0.274497,0.116712,913.8050000000001
2020-08-30,11711.505859,428.395721,23.644915,0.283034,0.117437,921.3975
2020-08-31,11680.820313,435.079742,23.19305,0.281766,0.122688,928.99
2020-09-01,11970.478516,477.05191,24.822096,0.295696,0.125411,960.21
2020-09-02,11414.03418,440.040497,24.690363,0.276461,0.115613,903.78
2020-09-03,10245.296875,385.671936,20.619886,0.24658,0.096154,847.13
2020-09-04,10511.813477,388.24115,21.056107,0.255883,0.102445,836.68
2020-09-05,10169.567383,335.260071,19.478767,0.237692,0.089923,813.7149999999999
2020-09-06,10280.351563,353.362274,23.190662,0.240731,0.09306,802.2325
2020-09-07,10369.563477,352.673492,22.393307,0.242174,0.093333,790.75
2020-09-08,10131.516602,337.602112,23.190248,0.236753,0.091011,777.95
2020-09-09,10242.347656,351.110016,24.530291,0.239609,0.093349,803.17
2020-09-10,10363.138672,368.101898,24.559889,0.24353,0.097156,805.59
